time,pN,pG,pK,pD
0.0,0.0,0.0,0.0,0.0
15.0,38.84014076621964,9.605633379221235,31.86922266530942,0.0007637081586517079
30.0,47.372407920654645,14.940058232477485,49.60365142849658,0.015441437644642035
45.0,48.77359380950417,16.187957882728696,49.87171785958405,0.04514841064892743
60.0,48.55896898299605,16.349535857687204,49.87448377775984,0.07127092936946794
75.0,48.08487305301604,16.279951907220177,49.872917276606536,0.09286234691782462
90.0,47.64024020300179,16.17852123144097,49.870924574469214,0.11046896957948657
105.0,47.27235168452206,16.08705780398972,49.86913467733378,0.12469434599790137
120.0,46.97763649062427,16.011793990319198,49.867645768736345,0.13611148174775572
